OrderID,OrderDate,CustomerName,Region,ProductCategory,Revenue,Quantity,Status
ORD-02041,17-01-2024,Yash Agarwal,North,Electronics,24387.02,1,Active
ORD-01811,07-01-2023,Vivek Chopra,West,Electronics,0,1,Returned
ORD-01911,31-12-2023,Vivek Chopra,West,Electronics,32310.12,5,Active
ORD-01389,25-09-2024,Tara Saxena,East,Office Supplies,303.6,9,Active
ORD-01713,22-07-2024,Manish Srivastava,East,Furniture,0,7,Cancelled
ORD-02446,23-02-2023,Sanjay Joshi,West,Office Supplies,1401.74,27,Active
ORD-02020,03-02-2023,Tara Saxena,East,Furniture,0,4,Cancelled
ORD-02423,27-01-2023,Tarun Mukerjee,East,Office Supplies,0,23,Returned
ORD-01734,31-07-2023,Riya Malhotra,East,Electronics,37765.99,3,Active
ORD-01678,15-10-2023,Pooja Iyer,North,Electronics,0,1,Cancelled
ORD-01539,05-03-2023,Amit Kumar,South,Office Supplies,383.62,22,Active
ORD-02324,21-09-2024,Kavya Nair,North,Furniture,13598.15,6,Active
ORD-01257,13-04-2024,Priya Patel,East,Electronics,35767.03,1,Active
ORD-02381,15-09-2024,Nidhi Bhatt,South,Office Supplies,2260.04,8,Active
ORD-02407,24-12-2024,Nidhi Bhatt,South,Electronics,23719.34,2,Active
ORD-01420,15-04-2023,Dev Mathur,East,Furniture,3788.21,2,Active
ORD-01343,19-05-2023,Sunita Menon,East,Furniture,8239.11,7,Active
ORD-01446,11-05-2024,Gaurav Mishra,South,Electronics,2830.68,4,Active
ORD-01781,12-06-2023,Priya Patel,East,Office Supplies,1847.2,9,Active
ORD-01671,25-10-2023,Kavya Nair,North,Electronics,32871.05,4,Active
ORD-01055,10-02-2023,Smita Patil,East,Electronics,0,3,Returned
ORD-01970,23-09-2023,Sneha Gupta,North,Office Supplies,2560.03,25,Active
ORD-01988,12-12-2023,Rajesh Choudhury,South,Office Supplies,2037.09,5,Active
ORD-01527,28-10-2024,Riya Malhotra,East,Electronics,36124.4,1,Active
ORD-01780,16-04-2024,Sneha Gupta,East,Electronics,21698.89,3,Active
ORD-02109,12-12-2023,Deepa Pillai,East,Electronics,21172.19,4,Active
ORD-02057,06-11-2023,Nidhi Bhatt,South,Office Supplies,2602.5,8,Active
ORD-01727,11-08-2024,Meena Krishnan,North,Furniture,0,4,Returned
ORD-01830,15-01-2023,Gaurav Mishra,South,Electronics,14286.22,4,Active
ORD-01877,07-11-2024,Tarun Mukerjee,East,Office Supplies,0,15,Returned
ORD-02050,05-01-2024,Rajesh Choudhury,South,Furniture,6842.45,6,Active
ORD-01688,27-09-2023,Nidhi Bhatt,South,Electronics,17448.35,4,Active
ORD-01091,01-02-2023,Suresh Rao,West,Electronics,28263.04,2,Active
ORD-02276,17-05-2023,Ananya Sharma,North,Electronics,40643.87,2,Active
ORD-01183,16-01-2023,Smita Patil,East,Electronics,26827.3,1,Active
ORD-01076,13-09-2023,Rahul Verma,West,Furniture,0,6,Returned
ORD-01831,06-12-2023,Aakash Bhat,South,Electronics,0,5,Returned
ORD-02328,22-01-2024,Ajay Rastogi,North,Furniture,4805.17,2,Active
ORD-01597,18-04-2023,Varun Naik,North,Electronics,13295.64,1,Active
ORD-02011,18-06-2024,Geeta Pandey,West,Electronics,26947.87,4,Active
ORD-01124,11-03-2024,Rahul Verma,West,Office Supplies,564.01,9,Active
ORD-01188,24-03-2023,Lakshmi Venkat,North,Electronics,6377.67,5,Active
ORD-01925,31-05-2023,Amit Kumar,South,Furniture,7202.69,8,Active
ORD-01776,03-04-2023,Amit Kumar,South,Furniture,7738.3,8,Active
ORD-01522,23-05-2024,Amit Kumar,South,Electronics,11319.42,3,Active
ORD-01592,23-01-2023,Nidhi Bhatt,South,Electronics,17003.34,1,Active
ORD-02496,08-10-2024,Ajay Rastogi,North,Furniture,16745.23,1,Active
ORD-02037,28-12-2023,Tara Saxena,East,Electronics,0,2,Cancelled
ORD-02362,30-11-2023,Sunita Menon,East,Furniture,3970.49,1,Active
ORD-01316,20-12-2023,Amit Kumar,South,Furniture,17209.05,2,Active
ORD-01136,24-03-2024,Geeta Pandey,West,Office Supplies,0,8,Cancelled
ORD-02123,25-02-2024,Lakshmi Venkat,North,Electronics,28819.59,4,Active
ORD-01032,29-04-2024,Suresh Rao,West,Furniture,3670.26,2,Active
ORD-02097,19-05-2024,Bhavna Dubey,South,Office Supplies,1767.75,17,Active
ORD-01336,22-06-2024,Yash Agarwal,North,Furniture,1682.42,2,Active
ORD-01886,02-10-2024,Rahul Verma,West,Electronics,36140.74,4,Active
ORD-02301,28-10-2024,Rohan Mehta,South,Furniture,10704.3,2,Active
ORD-02137,09-11-2024,Vikram Singh,West,Office Supplies,876.88,18,Active
ORD-01235,16-06-2023,Sanjay Joshi,West,Office Supplies,0,6,Cancelled
ORD-01735,20-04-2023,Rahul Verma,West,Office Supplies,3347.44,16,Active
ORD-01359,02-10-2023,Divya Kaur,North,Office Supplies,186.44,3,Active
ORD-01896,12-09-2024,Divya Kaur,North,Electronics,0,3,Cancelled
ORD-01458,15-03-2024,Lakshmi Venkat,North,Electronics,13041.97,1,Active
ORD-01987,24-05-2024,Tarun Mukerjee,East,Electronics,3589.47,2,Active
ORD-01031,12-05-2024,Aakash Bhat,South,Office Supplies,3277.52,19,Active
ORD-01605,22-05-2023,Deepa Pillai,East,Furniture,0,5,Cancelled
ORD-01746,10-01-2023,Sanjay Joshi,West,Electronics,44803.83,5,Active
ORD-01345,11-05-2023,Riya Malhotra,East,Electronics,0,4,Cancelled
ORD-01375,20-04-2023,Sneha Gupta,East,Electronics,9283.4,5,Active
ORD-01799,20-02-2023,Harsh Shah,West,Office Supplies,294.52,30,Active
ORD-01427,20-06-2023,Geeta Pandey,West,Electronics,14704.44,4,Active
ORD-01841,02-10-2024,Meena Krishnan,North,Electronics,42530.84,3,Active
ORD-01260,08-05-2023,Harsh Shah,West,Furniture,13456.55,7,Active
ORD-01208,16-03-2024,Sanjay Joshi,West,Office Supplies,2477.67,17,Active
ORD-02377,30-09-2024,Harsh Shah,South,Furniture,5637.16,8,Active
ORD-01537,19-10-2024,Dev Mathur,East,Furniture,15973.22,6,Active
ORD-01177,03-12-2024,Harsh Shah,West,Office Supplies,1287.42,13,Active
ORD-01547,19-07-2024,Lakshmi Venkat,North,Office Supplies,1630.64,28,Active
ORD-01589,02-11-2023,Tara Saxena,East,Office Supplies,2107.48,11,Active
ORD-02206,26-08-2023,Varun Naik,North,Office Supplies,0,20,Cancelled
ORD-01078,01-04-2024,Deepa Pillai,East,Furniture,8266.23,4,Active
ORD-02155,24-11-2024,Neha Tiwari,North,Furniture,14326.6,1,Active
ORD-01013,02-02-2023,Lakshmi Venkat,North,Electronics,0,5,Cancelled
ORD-02012,15-01-2023,Kiran Nambiar,West,Electronics,11754.15,4,Active
ORD-01449,01-11-2024,Harsh Shah,West,Furniture,12061.81,3,Active
ORD-01757,29-08-2023,Meena Krishnan,North,Office Supplies,2636.6,7,Active
ORD-01227,23-02-2024,Gaurav Mishra,South,Electronics,35683.83,3,Active
ORD-01813,08-06-2023,Sneha Gupta,East,Electronics,6917.64,3,Active
ORD-02486,12-10-2024,Arjun Reddy,South,Furniture,13939.24,2,Active
ORD-02170,24-12-2023,Arjun Reddy,South,Furniture,0,3,Returned
ORD-01711,25-09-2023,Dev Mathur,East,Furniture,0,7,Returned
ORD-02429,31-05-2024,Priya Patel,East,Electronics,14119.6,5,Active
ORD-01950,03-02-2023,Gaurav Mishra,South,Electronics,27123.05,2,Active
ORD-02492,24-06-2024,Tarun Mukerjee,West,Electronics,30613.88,5,Active
ORD-01116,02-06-2023,Ajay Rastogi,North,Electronics,44731.18,1,Active
ORD-01924,21-05-2024,Vikram Singh,West,Electronics,0,1,Returned
ORD-01696,10-02-2023,Ajay Rastogi,North,Electronics,12215.08,2,Active
ORD-02067,05-11-2023,Nikhil Desai,South,Office Supplies,1300.7,18,Active
ORD-01072,29-08-2023,Vivek Chopra,West,Electronics,7313.05,1,Active
ORD-01349,31-08-2024,Priya Patel,East,Office Supplies,2476.34,2,Active
ORD-02138,13-11-2023,Harsh Shah,West,Office Supplies,471.09,28,Active
ORD-02072,23-12-2023,Vivek Chopra,West,Electronics,36913.11,5,Active
ORD-01884,30-07-2024,Geeta Pandey,West,Office Supplies,1767.21,26,Active
ORD-01809,17-07-2024,Meena Krishnan,North,Furniture,8220.75,7,Active
ORD-02462,07-03-2023,Asha Kulkarni,South,Office Supplies,2512.43,26,Active
ORD-02178,02-07-2023,Suresh Rao,West,Furniture,1878.63,4,Active
ORD-02351,03-07-2024,Sunita Menon,East,Electronics,17993.49,2,Active
ORD-01233,20-08-2023,Pooja Iyer,North,Furniture,15246.38,2,Active
ORD-01726,29-10-2023,Gaurav Mishra,South,Office Supplies,3350.65,29,Active
ORD-01495,03-11-2023,Meena Krishnan,North,Electronics,2173.83,4,Active
ORD-02363,28-01-2023,Kavya Nair,North,Office Supplies,2636.59,13,Active
ORD-01490,08-04-2024,Nikhil Desai,South,Electronics,6816.14,5,Active
ORD-01353,28-02-2024,Vivek Chopra,West,Office Supplies,0,29,Cancelled
ORD-01820,21-02-2023,Rajesh Choudhury,South,Office Supplies,2034.63,3,Active
ORD-01416,07-09-2023,Asha Kulkarni,South,Electronics,15429.74,4,Active
ORD-01464,16-03-2023,Rohan Mehta,South,Electronics,12388.59,1,Active
ORD-01623,27-04-2023,Sneha Gupta,East,Electronics,897.11,3,Active
ORD-01318,29-07-2024,Nikhil Desai,South,Office Supplies,2606.07,8,Active
ORD-02194,25-09-2024,Sarita Bansal,West,Office Supplies,3372.84,22,Active
ORD-02140,04-08-2023,Deepa Pillai,East,Office Supplies,0,26,Returned
ORD-01049,20-07-2024,Amit Kumar,South,Office Supplies,776.67,11,Active
ORD-02070,20-09-2024,Asha Kulkarni,South,Office Supplies,1951.34,25,Active
ORD-02088,18-04-2023,Rajesh Choudhury,South,Office Supplies,2383.99,4,Active
ORD-01832,22-09-2023,Padma Subramaniam,West,Office Supplies,0,23,Cancelled
ORD-01173,29-04-2023,Sneha Gupta,East,Office Supplies,518.04,15,Active
ORD-01021,27-09-2023,Varun Naik,North,Office Supplies,3198.57,28,Active
ORD-01742,27-09-2023,Suresh Rao,West,Office Supplies,1233.68,6,Active
ORD-02085,11-02-2023,Arjun Reddy,South,Electronics,17807.33,4,Active
ORD-02318,04-08-2023,Vivek Chopra,West,Furniture,14627.93,3,Active
ORD-01959,24-11-2024,Sanjay Joshi,West,Electronics,30537.84,1,Active
ORD-01068,28-06-2023,Sarita Bansal,West,Furniture,9998.49,1,Active
ORD-01526,19-05-2024,Divya Kaur,North,Furniture,2095.29,8,Active
ORD-02477,07-10-2023,Amit Kumar,South,Electronics,12895.19,1,Active
ORD-02494,22-05-2024,Divya Kaur,North,Electronics,15737.77,2,Active
ORD-01295,04-09-2023,Aakash Bhat,South,Electronics,3033.89,4,Active
ORD-01010,09-01-2024,Deepa Pillai,East,Electronics,30421.74,1,Active
ORD-02334,09-02-2023,Dev Mathur,East,Electronics,30639.74,3,Active
ORD-01693,02-05-2023,Riya Malhotra,East,Furniture,0,8,Cancelled
ORD-02077,09-03-2023,Vivek Chopra,West,Electronics,35380.79,5,Active
ORD-01773,20-05-2023,Tara Saxena,East,Furniture,0,5,Cancelled
ORD-01523,13-10-2024,Arjun Reddy,South,Office Supplies,2254.9,29,Active
ORD-02413,30-06-2023,Harsh Shah,West,Electronics,9552.51,2,Active
ORD-01629,27-06-2024,Vikram Singh,West,Furniture,15147.05,8,Active
ORD-01667,07-05-2023,Priya Patel,West,Office Supplies,1938.96,3,Active
ORD-02316,28-06-2023,Gaurav Mishra,South,Electronics,8691.53,1,Active
ORD-02284,12-10-2023,Ajay Rastogi,North,Electronics,0,5,Cancelled
ORD-01738,13-08-2024,Pooja Iyer,West,Furniture,16931.88,1,Active
ORD-02059,31-10-2024,Tara Saxena,East,Furniture,16350.24,4,Active
ORD-02361,26-02-2024,Padma Subramaniam,West,Furniture,1654.65,2,Active
ORD-02280,18-04-2024,Harsh Shah,West,Furniture,0,1,Returned
ORD-02458,24-01-2023,Nidhi Bhatt,South,Office Supplies,0,23,Returned
ORD-01256,02-12-2024,Bhavna Dubey,South,Furniture,11481.72,3,Active
ORD-02186,04-11-2023,Suresh Rao,West,Furniture,10363.08,2,Active
ORD-01533,07-02-2024,Ajay Rastogi,North,Furniture,3018.54,6,Active
ORD-01101,06-04-2024,Suresh Rao,West,Office Supplies,2155.64,13,Active
ORD-01763,19-05-2023,Dev Mathur,East,Office Supplies,1625.07,24,Active
ORD-01881,01-03-2023,Sneha Gupta,East,Office Supplies,1874.87,3,Active
ORD-01545,13-02-2023,Kiran Nambiar,West,Electronics,44879.3,2,Active
ORD-01223,12-02-2023,Yash Agarwal,North,Office Supplies,2298.84,11,Active
ORD-01216,30-05-2023,Meena Krishnan,North,Office Supplies,577.4,25,Active
ORD-01818,30-10-2024,Tarun Mukerjee,East,Office Supplies,2732.09,13,Active
ORD-01907,27-07-2024,Varun Naik,North,Office Supplies,1258.6,11,Active
ORD-01312,27-06-2023,Bhavna Dubey,South,Furniture,9969.04,5,Active
ORD-02230,07-07-2024,Tara Saxena,East,Office Supplies,1953.66,17,Active
ORD-02348,06-12-2024,Tarun Mukerjee,East,Electronics,9595.74,4,Active
ORD-01766,24-09-2023,Amit Kumar,South,Electronics,23930.58,2,Active
ORD-01865,10-04-2024,Arjun Reddy,South,Office Supplies,2287.59,23,Active
ORD-01673,18-07-2023,Lakshmi Venkat,North,Furniture,0,5,Cancelled
ORD-01109,03-05-2023,Dev Mathur,East,Office Supplies,0,7,Cancelled
ORD-01309,20-01-2023,Yash Agarwal,North,Electronics,19052.84,2,Active
ORD-02182,30-07-2024,Tarun Mukerjee,East,Furniture,14654.6,3,Active
ORD-01564,24-10-2024,Riya Malhotra,East,Furniture,0,1,Returned
ORD-02488,20-10-2023,Padma Subramaniam,West,Electronics,0,4,Cancelled
ORD-01288,09-04-2024,Kavya Nair,North,Electronics,20230.56,4,Active
ORD-01120,02-10-2024,Aakash Bhat,South,Electronics,7741.92,2,Active
ORD-02355,10-09-2023,Asha Kulkarni,South,Office Supplies,3083.38,15,Active
